,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,changePercentage
424,Nike Blazer Mid 77 Jumbo White Black,Nike,110,2021-11-04,61,384,28,82,87,187,37,0.095515,3047,-0.281,81,80,0.317772
425,Jordan 1 Low White Bordeaux,Jordan,100,2022-08-01,98,419,28,135,135,229,77,0.187331,2578,0.0,110,101,-0.019273
426,Jordan 1 Low Ice Blue Black (GS),Jordan,95,2022-10-15,100,346,28,97,122,160,75,0.139842,2255,0.126,112,107,0.103093
427,New Balance 9060 Rich Oak Burgundy,New Balance,160,2022-11-05,126,218,28,176,119,301,82,0.175739,1007,0.238,177,198,0.076087
428,Nike Dunk Low Tartan Plaid,Nike,120,2023-01-18,79,578,28,100,115,319,78,0.0,942,-0.375,133,75,-0.038462
429,Nike Air Max 1 '87 Safari Summit White Phantom (Women's),Nike,150,2023-03-03,115,637,28,170,221,420,100,0.092628,508,-0.067,171,140,-0.125
430,Nike Dunk Low AS Safari Swoosh Chlorophyll,Nike,110,2022-12-05,105,217,28,130,69,199,89,0.114355,417,-0.109,122,98,-0.02
431,Jordan 1 Elevate High White Desert (Women's),Jordan,145,,137,104,28,149,32,220,100,0.112223,235,0.112,153,162,0.013783
432,New Balance 2002R Protection Pack Driftwood,New Balance,170,,137,156,28,170,79,314,125,0.148856,196,-0.206,172,135,-0.246041
433,adidas Campus Kasina Kim,adidas,115,2023-03-10,159,221,28,235,69,472,120,0.119222,73,0.595,210,184,-0.073891
434,adidas Yeezy Foam RNNR Sulfur,adidas,90,2022-04-16,178,354,27,218,129,323,107,0.121643,15282,1.056,176,185,0.056168
435,adidas Yeezy Foam RNNR Ochre,adidas,80,2021-08-02,170,420,27,240,130,370,119,0.129227,11853,1.388,208,191,-0.054455
436,Nike Dunk Low Two Tone Grey,Nike,100,2022-03-01,165,384,27,214,175,361,121,0.142827,9647,1.8,211,280,0.339713
437,Jordan 12 Retro Stealth,Jordan,200,2022-08-27,170,398,27,220,209,328,120,0.109788,9365,0.05,191,210,0.088083
438,Nike Air Presto Hello Kitty (2022),Nike,140,2022-05-27,74,445,27,92,106,514,41,0.234835,8683,-0.45,137,77,-0.330435
439,adidas Yeezy Boost 700 V2 Static (2018/2022),adidas,300,2018-12-29,247,759,27,294,272,475,200,0.210665,8152,-0.167,305,250,-0.335391
440,adidas Yeezy Boost 700 V2 Static (2018/2022),adidas,300,2018-12-29,247,759,27,294,272,475,200,0.210665,8152,-0.167,305,250,-0.335391
441,Jordan 11 Retro Midnight Navy (Women's),Jordan,225,2022-11-11,113,529,27,214,147,360,85,0.087952,6554,-0.013,224,222,0.018349
442,Nike Air VaporMax 2021 FK Black Anthracite,Nike,200,2022-06-01,125,345,27,125,153,258,60,0.080596,5308,-0.44,137,112,-0.042454
443,Jordan 1 Retro High Element Gore-Tex Black Particle Grey,Jordan,200,2021-12-04,126,587,27,200,206,291,114,0.110678,4058,-0.14,185,172,0.173321
444,Nike Shox Ride 2 SP Supreme White,Nike,188,2022-06-23,275,105,27,580,157,1041,176,0.194079,1853,0.968,301,370,-0.064372
445,Jordan 1 Low Triple White (2022),Jordan,110,2022-09-01,107,518,27,110,121,200,65,0.078215,1816,0.0,117,110,0.023627
446,Nike Air Max 1 PRM Somos Familia (Women's),Nike,130,2022-10-23,136,110,27,273,171,693,124,0.147212,1405,0.361,190,177,-0.179698
447,Nike Dunk Low Hyper Pink (Women's),Nike,120,2022-11-11,111,246,27,126,82,199,80,0.068193,1227,0.017,124,122,-0.054264
448,Nike React Phantom Run Flyknit 2 Black White Blend,Nike,140,2020-07-17,108,122,27,98,46,245,63,0.069842,952,0.067,139,150,0.032407
449,Nike Dunk Low Mineral Teal (GS),Nike,85,2022-11-18,71,257,27,85,48,160,65,0.097375,632,-0.176,95,70,-0.213483
450,Puma LaMelo Ball MB.02 Lunar New Year Jade,Puma,140,2023-02-03,97,293,27,173,71,388,82,0.174447,609,0.333,162,187,0.164322
451,Nike Air Bakin SP Supreme Black Gradient,Nike,168,2023-03-02,207,261,27,350,180,339,162,0.078199,288,0.28,221,215,-0.048673
452,Jordan 1 Mid Armory Navy,Jordan,115,2022-03-29,131,883,26,139,239,260,70,0.18207,14296,0.174,153,135,-0.021739
453,Jordan 13 Retro Brave Blue,Jordan,200,2022-04-29,144,461,26,220,122,424,111,0.100771,9460,-0.16,194,168,-0.045455
454,adidas Yeezy Boost 350 V2 MX Rock,adidas,220,2021-12-22,220,871,26,295,227,427,111,0.118694,8863,0.291,266,284,-0.110621
455,adidas Yeezy Boost 350 V2 MX Oat,adidas,220,2021-10-23,230,645,26,320,251,576,165,0.093777,8513,0.314,264,290,-0.082012
456,Jordan 2 Retro SP Union Grey Fog,Jordan,225,2022-04-15,114,807,26,205,250,1103,90,0.195735,7440,-0.116,271,199,0.496241
457,Jordan 1 Retro High OG Visionaire,Jordan,170,2022-06-11,125,626,26,171,309,343,85,0.131179,6912,-0.235,164,130,-0.171975
458,Nike Air Trainer 1 SP Travis Scott Wheat,Nike,140,2022-05-27,100,586,26,150,182,797,49,0.170485,6252,0.093,189,153,0.307692
459,New Balance 550 White Red,New Balance,110,2022-02-15,88,435,26,90,117,420,50,0.152296,5928,-0.136,128,95,-0.082203
460,Nike Dunk Low Disrupt 2 Phantom University Blue (Women's),Nike,110,2022-02-03,134,305,26,150,132,347,101,0.23683,5813,0.48,187,163,0.281566
461,Jordan 9 Retro Fire Red,Jordan,200,2022-12-13,177,260,26,205,140,400,120,0.073188,3751,0.075,214,215,-0.018586
462,Jordan 1 Low Eastside Golf Out of the Mud,Jordan,130,2022-11-12,125,375,26,185,159,569,89,0.120672,2783,0.154,175,150,0.612903
463,Nike Air Max 97 Black White Anthricite,Nike,160,2019-06-10,113,262,26,130,136,266,60,0.102311,2172,-0.067,145,150,-0.175439
464,Nike Air Max 90 Recraft Triple White,Nike,120,2020-01-09,74,264,26,90,120,187,60,0.078188,1741,-0.191,111,98,0.15569
465,Jordan 1 Mid True Blue Cement (GS),Jordan,110,2022-12-02,95,458,26,92,51,154,62,0.079594,869,-0.073,109,102,-0.106274
466,Nike Air Force 1 Low SP AMBUSH Game Royal,Nike,190,2022-12-16,115,444,26,126,239,488,65,0.133867,848,-0.153,159,161,0.277778
467,adidas Samba OG Kith Classics Program White,adidas,100,2021-06-25,139,165,26,200,141,306,85,0.192936,244,1.36,170,236,0.072727
468,Nike Dunk Low Racer Blue White,Nike,100,2022-09-03,135,559,25,145,142,370,100,0.093675,19706,0.33,147,133,-0.193939
469,Nike Dunk Low Union Passport Pack Argon,Nike,150,2022-04-02,206,855,25,271,247,1193,151,0.090128,10938,0.64,304,246,0.037683
470,Jordan 1 Retro High OG Varsity Red (Women's),Jordan,170,2022-07-20,108,580,25,230,186,505,90,0.224888,7201,-0.324,154,115,-0.160584
471,Jordan 1 Retro High OG Hand Crafted,Jordan,170,2021-12-18,150,1050,25,185,223,359,110,0.118079,5894,0.094,178,186,0.24
472,Crocs Pollex Clog by Salehe Bembury Tide,Crocs,85,2022-09-22,76,704,25,95,80,319,54,0.171829,4691,-0.247,93,64,-0.38694
473,Jordan 6 Retro Carmine (2021),Jordan,200,2021-02-13,167,891,25,230,297,369,100,0.141124,4603,0.15,234,230,-0.057377
474,New Balance 550 White Nightwatch Green,New Balance,110,2022-10-19,95,382,25,126,95,249,85,0.13872,2996,0.436,135,158,0.628866
475,Nike Dunk Low Union Passport Pack Pistachio,Nike,150,2022-02-11,266,352,25,404,194,803,0,0.096071,2704,1.453,385,368,0.226667
476,Jordan 1 Low SE Craft Obsidian French Blue Ashen Slate White,Jordan,120,2022-11-08,113,251,25,140,160,266,75,0.179049,2567,0.32,125,159,0.319431
477,Jordan 1 Retro High OG Chicago Lost and Found (TD),Jordan,70,2022-11-19,89,340,25,84,141,263,72,0.17368,2561,0.286,103,90,0.097561
478,Nike Air Max 1 Premium Hangul Day,Nike,160,2022-11-17,79,346,25,99,210,348,78,0.187048,1279,-0.066,129,150,0.139345
479,adidas Yeezy Slide Slate Grey,adidas,70,,121,164,25,250,106,280,90,0.353968,894,0.686,155,118,-0.23871
480,Jordan 1 High Golf Black White,Jordan,180,2023-01-13,165,339,25,188,134,319,138,0.181284,814,0.03,213,186,0.27812
481,New Balance 1906D Protection Pack Turtledove,New Balance,165,2023-01-06,135,351,25,225,119,352,137,0.111819,537,-0.024,203,161,0.092143
482,Jordan 1 Low Vintage UNC Grey,Jordan,110,2022-10-01,210,229,25,260,185,590,120,0.110013,518,1.383,247,263,-0.069918
483,Nike Zoom Vomero 5 SP Vast Grey,Nike,160,2019-02-01,138,114,25,180,141,565,90,0.175979,455,-0.156,161,135,-0.361443
484,Nike Air Max 90 White University Blue (2022),Nike,100,2023-02-01,102,305,25,125,79,281,75,0.103434,234,0.44,132,144,0.170732
485,Nike Air Force 1 Low '07 Light Smoke Grey Midnight Navy,Nike,130,2023-01-31,125,155,25,135,54,198,101,0.112143,181,-0.055,145,123,-0.033794
486,Jordan 1 Low Barely Grape (Women's),Jordan,110,2023-01-23,84,912,25,100,50,202,86,0.094145,104,-0.114,115,98,0.026197
487,Nike Dunk Low Team Red (2022),Nike,100,2022-05-12,152,697,24,221,202,340,110,0.120043,13700,0.53,174,153,-0.246707
488,Jordan 5 Retro Low CLOT Jade,Jordan,200,2022-05-14,154,496,24,250,221,489,71,0.180359,8909,-0.075,176,185,0.324273
489,Jordan 1 Mid SE Light Mulberry (Women's),Jordan,130,2022-03-29,84,442,24,163,222,258,77,0.129118,8747,0.463,154,191,0.451787
490,Nike Dunk Low Light Smoke Grey (Women's),Nike,100,2022-05-01,142,467,24,194,151,437,113,0.109432,6754,0.402,174,141,-0.11812
491,New Balance 550 White Grey Dark Grey,New Balance,100,2022-05-12,87,264,24,100,116,351,50,0.135908,6156,0.204,145,121,0.225777
492,Jordan 11 Retro Cherry (2022) (PS),Jordan,100,2022-12-10,104,238,24,115,87,299,81,0.060529,5248,0.21,125,121,-0.008197
493,adidas Yeezy Boost 700 Analog,adidas,300,2019-04-27,257,776,24,320,246,869,180,0.149454,4967,-0.17,284,249,-0.141379
494,Nike Dunk Low Teddy Bear (Women's),Nike,120,2022-10-01,147,269,24,165,156,249,97,0.11291,4905,0.325,157,159,-0.00625
495,New Balance 530 Steel Grey,New Balance,110,2021-01-21,109,124,24,115,91,293,60,0.127885,4290,0.136,111,125,0.388889
496,Jordan 11 Retro Concord (2018),Jordan,220,2018-12-08,438,461,24,523,285,709,0,0.101345,2408,1.045,452,450,-0.040512
497,Nike PG 6 Hot Wheels,Nike,120,2022-11-23,126,361,24,170,111,500,93,0.121095,2397,0.05,152,126,-0.106383
498,New Balance 550 Aime Leon Dore White Leather,New Balance,130,2022-11-02,145,442,24,220,131,600,120,0.09371,2103,0.0,182,130,-0.090421
499,Nike Air Max 1 PRM Duck Honey Dew,Nike,160,2022-12-20,95,383,24,130,362,290,77,0.158239,1721,-0.218,134,126,-0.148749
500,New Balance 1906D Protection Pack Black,New Balance,165,2023-01-06,150,380,24,155,123,1639,80,0.104602,860,-0.036,205,159,-0.116667
501,New Balance 550 Aime Leon Dore Purple,New Balance,130,2022-06-21,94,404,24,118,79,510,80,0.166294,590,-0.285,218,93,-0.162162
502,Jordan 1 Low True Blue (GS),Jordan,90,2023-01-17,96,457,24,92,32,139,68,0.082756,503,0.035,100,94,-0.049502
503,Nike LeBron 20 Olive Green,Nike,210,2022-01-13,159,201,24,160,77,324,130,0.12685,238,-0.31,191,145,-0.09375
504,Jordan 1 Low Desert Berry (GS),Jordan,90,2023-02-04,106,125,24,107,36,148,103,0.115521,31,0.156,114,104,-0.045872
505,Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown,Nike,150,2022-05-27,219,718,23,379,479,4901,175,0.161802,9777,1.5,441,375,0.062323
506,Nike Air VaporMax 2021 FK White Black Metallic Silver,Nike,200,2021-06-24,108,204,23,140,145,258,68,0.156287,9329,-0.386,116,123,0.059052
507,Nike Air Force 1 Mid Off-White White,Nike,185,2022-06-23,121,646,23,150,251,913,84,0.143361,7222,0.29,192,239,0.268572
508,Jordan 4 Retro Blank Canvas (Women's),Jordan,200,2022-03-24,270,311,23,340,177,735,161,0.0,6734,0.726,283,346,-0.112401
509,Jordan 1 Mid Light Smoke Grey (Women's),Jordan,120,2021-10-11,145,471,23,210,154,378,119,0.104781,5741,0.725,231,207,0.131148
510,adidas Yeezy Boost 350 V2 Zyon,adidas,220,2020-07-18,200,928,23,285,282,449,90,0.158765,5219,0.114,260,245,-0.008097
511,Nike LeBron 20 Time Machine,Nike,200,2022-09-29,191,180,23,300,161,694,100,0.121401,4531,0.19,261,238,0.004219
512,adidas Yeezy Boost 350 V2 Hyperspace,adidas,220,2019-03-16,229,739,23,255,219,645,150,0.117665,4284,0.136,247,250,-0.270713
513,Nike Dunk Low Teal Zeal (Women's),Nike,110,2022-07-13,120,272,23,155,130,335,76,0.080149,3378,0.164,141,128,-0.072464
514,Jordan 1 Retro High Light Smoke Grey,Jordan,170,2020-07-11,204,734,23,235,179,420,151,0.14239,3242,0.429,266,243,0.119816
515,Jordan 1 Mid Edge Glow (GS),Jordan,100,2020-07-04,102,78,23,155,36,317,75,0.134801,3066,0.62,128,162,0.327869
516,Nike Waffle One Summit White,Nike,100,2022-05-13,58,630,23,70,69,133,25,0.180972,2724,-0.26,74,74,0.345455
517,adidas ADI2000 Yu-Gi-Oh! Yugi's World (with Sealed Dark Magician Promo Card),adidas,120,2023-01-26,154,502,23,205,157,357,140,0.128124,2699,0.25,224,150,-0.28486
518,Nike Blazer Mid 77 Vintage Summit White Pink (Women's),Nike,100,2021-08-31,58,214,23,70,39,169,32,0.113678,2528,-0.06,80,94,0.606838
519,Nike Air Max 270 White Black (W),Nike,150,2018-03-02,98,213,23,110,70,200,64,0.139127,2274,-0.393,114,91,-0.042105
520,New Balance 550 Vintage Indigo Beige,New Balance,110,2022-12-14,105,215,23,155,76,300,90,0.254499,1832,0.2,154,132,0.157895
521,Jordan 13 Retro SoleFly,Jordan,200,2022-12-02,185,568,23,350,219,537,148,0.0,1830,0.11,245,222,0.013699
522,Nike Air Force 1 Low '07 LV8 40th Anniversary White Black,Nike,120,2022-10-13,111,173,23,110,126,219,75,0.117251,1536,0.312,116,158,0.127293
523,Jordan 5 Retro DJ Khaled We The Best Crimson Bliss (GS),Jordan,160,2022-11-28,110,144,23,100,58,450,79,0.071012,1414,-0.275,152,116,0.104762
524,Jordan 1 Elevate Low SE Silver Toe (Women's),Jordan,140,2022-10-19,85,126,23,130,99,192,27,0.108938,1269,0.092,125,153,0.274196
525,Nike KD 15 Refuge,Nike,150,2022-07-01,96,189,23,175,108,315,75,0.173913,1248,-0.12,145,132,0.13916
526,Nike Dunk Low Retro PRM Year of the Rabbit Fossil Stone (2023),Nike,130,2023-02-11,294,112,23,601,465,805,230,0.169263,891,2.958,352,515,0.255129
527,New Balance 9060 Bricks & Wood,New Balance,180,2023-01-20,274,182,23,355,256,1000,150,0.108842,874,0.75,264,315,0.129032
528,adidas adiFOM Superstar White Black,adidas,110,2022-12-14,105,133,23,101,100,569,70,0.099576,722,0.045,118,115,-0.122137
529,Nike Air Max Plus Baltic Blue,Nike,160,2023-01-26,129,229,23,178,136,299,129,0.133158,417,0.443,215,231,0.213578
530,Jordan 14 Retro Metallic Silver (Women's),Jordan,180,2023-03-03,161,189,23,200,85,350,100,0.083956,406,0.174,204,212,0.228104
531,Nike Dunk Low Citron Pulse (Women's),Nike,110,2023-03-07,117,332,23,118,74,224,80,0.13841,248,-0.091,133,100,-0.206836
532,Nike Dunk Low Vast Grey Varsity Red,Nike,110,2023-03-01,109,223,23,123,124,189,81,0.088688,233,0.045,120,115,0.008772
533,Jordan 2 Retro Low Craft Melon Tint,Jordan,150,2023-03-15,112,394,23,150,158,300,90,0.084197,124,-0.173,136,124,-0.03876
534,Jordan 11 Retro Low Cement Grey (GS),Jordan,150,2023-04-01,208,82,23,200,12,300,150,0.100196,35,0.273,200,191,-0.119816
535,Jordan 3 Retro White Cement Reimagined (TD),Jordan,75,2023-03-11,70,476,22,80,70,141,60,0.073558,338,0.027,86,77,0.022208
536,Jordan 1 Mid SE Craft Inside Out White Grey,Jordan,120,2022-03-01,123,387,22,161,143,329,97,0.156474,10674,0.133,147,136,-0.122581
537,Jordan 5 Retro Jade Horizon,Jordan,190,2022-04-09,150,580,22,175,155,592,100,0.179201,8289,-0.032,204,184,0.226667
538,adidas Yeezy Boost 350 V2 Mono Ice,adidas,220,2021-06-18,230,647,22,305,177,442,167,0.093471,6614,0.413,272,311,0.087135
539,Nike Dunk Low Next Nature Lilac (Women's),Nike,100,2022-07-16,189,166,22,300,135,452,127,0.0,5867,1.47,189,247,-0.09854
540,adidas Yeezy Boost 350 V2 Sesame,adidas,220,2018-11-23,244,678,22,320,243,833,150,0.067744,5332,0.309,288,288,-0.020408
541,Nike SB Dunk Low Blue Raspberry,Nike,110,2022-06-01,206,268,22,356,269,686,143,0.166603,4761,0.955,246,215,0.038647
542,adidas Yeezy Boost 350 V2 Carbon,adidas,220,2020-10-02,180,719,22,315,272,621,126,0.145886,4612,0.182,277,260,-0.153839
543,Jordan 1 Mid Carbon Fiber All-Star (2021),Jordan,125,2021-02-01,164,601,22,220,164,412,149,0.099582,4519,1.008,215,251,0.082324
544,Nike Dunk Low Retro Sun Club Multi (Women's),Nike,110,2022-07-07,115,303,22,121,101,250,67,0.099921,4396,0.355,130,149,0.201613
545,Nike Air Max 270 White Black,Nike,160,2018-03-20,111,286,22,105,109,234,75,0.041345,4359,-0.288,116,114,0.128563
546,UGG Tasman Slipper Black,UGG,100,,102,215,22,150,54,230,56,0.14858,4292,0.16,108,116,0.171717
547,Jordan 1 Retro High Court Purple White,Jordan,170,2020-04-11,229,917,22,283,239,653,190,0.104686,4152,0.799,297,306,0.290215
548,Jordan 1 High Element Gore-Tex Light Curry,Jordan,200,2022-04-01,116,403,22,189,138,328,55,0.135423,3988,-0.42,179,116,-0.218942
549,Nike Air Max 1 Sail Ironstone,Nike,150,2022-11-24,140,371,22,188,276,360,83,0.0,2840,0.053,189,158,-0.28278
550,adidas Yeezy Boost 350 V2 Mono Mist,adidas,220,2021-06-18,144,718,22,214,225,329,95,0.116816,2741,-0.214,202,173,-0.038889
551,Nike Dunk Low White Pink (GS),Nike,85,2022-01-15,73,359,22,60,40,126,27,0.06323,2180,-0.141,83,73,0.0
552,Nike LeBron 20 Miami Heat,Nike,200,2022-10-24,160,263,22,199,135,362,101,0.0,2179,0.122,198,225,0.419987
553,Nike Air Force 1 Low '07 LV8 40th Anniversary Sail Malachite,Nike,130,2022-10-13,109,362,22,116,158,194,88,0.199777,1899,-0.157,126,110,0.005929
554,Nike Air Max Plus White Grape Ice,Nike,170,2022-06-24,88,188,22,145,115,334,100,0.101317,1403,-0.061,158,160,0.298246
555,Jordan 1 Retro High Light Smoke Grey (GS),Jordan,130,2020-07-11,124,264,22,146,78,301,100,0.131096,1340,-0.041,181,125,-0.024042
556,Jordan 4 Retro Off-White Sail (W),Jordan,200,2020-07-25,965,408,22,2550,327,6500,766,0.455248,1271,7.036,1575,1608,-0.269464
557,Nike Epic Phantom React Flyknit Black White (W),Nike,150,2019-05-02,68,220,22,66,21,247,54,0.116373,1098,-0.384,116,93,-0.026265
558,New Balance 550 Lunar New Year Sea Salt,New Balance,130,2022-12-30,100,214,22,115,80,285,90,0.118298,870,-0.138,147,112,0.046729
559,adidas Yeezy Boost 350 V2 Static (Non-Reflective),adidas,220,2018-12-27,324,280,22,319,133,671,242,0.057063,860,0.605,389,353,0.165017
560,Jordan 12 Retro Low Golf Playoff,Jordan,220,2022-10-18,134,208,22,200,69,303,115,0.115232,669,-0.377,164,137,-0.164634
561,Jordan 1 Mid SE Ice Blue (Women's),Jordan,135,2023-01-20,122,682,22,130,119,250,100,0.094654,651,-0.052,143,128,-0.030303
562,New Balance 530 Beige Angora,New Balance,100,2022-12-20,93,322,22,108,48,156,80,0.043008,568,0.085,110,109,-0.06896
563,ASICS ACTIBREEZE 3D Sandal Black,ASICS,80,2022-07-21,117,98,22,140,53,375,80,0.144152,544,0.938,158,155,-0.025157
564,Nike Dunk Low SE Just Do It White Phantom (Women's),Nike,120,2023-02-16,109,332,22,121,70,220,85,0.132945,383,0.117,128,134,0.218182
565,Jordan 1 Mid Gym Red Panda (Women's),Jordan,130,2023-01-17,88,444,22,95,103,184,88,0.197659,341,-0.238,120,99,-0.091743
566,Nike Dunk Low Next Nature TPU Swoosh (GS),Nike,90,2023-01-03,74,245,22,71,20,128,61,0.074532,207,-0.167,90,75,-0.150749
567,adidas Gazelle Indoor Bold Orange (Women's),adidas,120,,113,150,22,150,53,226,90,0.059992,150,0.225,142,147,0.068702
568,Jordan 1 Low Marina Blue (Women's),Jordan,100,2022-01-29,104,530,21,129,129,221,90,0.168161,10236,0.348,138,135,-0.036925
569,Nike Dunk High Championship White Red,Nike,115,2022-05-17,122,602,21,150,135,239,73,0.18438,8504,0.043,138,120,-0.137836
570,Jordan 1 High Element Gore-Tex Light Bone,Jordan,200,2021-12-16,170,394,21,303,219,399,99,0.0,6960,-0.05,228,190,-0.155556
571,Jordan 3 Retro Fire Red (2022) (GS),Jordan,150,2022-09-10,131,334,21,160,68,320,75,0.110291,6321,0.167,147,175,0.129032
572,Nike Air Force 1 Mid Stussy Fossil,Nike,150,2022-05-13,121,455,21,138,170,429,90,0.0,5600,0.309,150,197,0.076923
573,adidas Yeezy 450 Utility Black,adidas,200,2022-08-02,237,500,21,300,182,441,145,0.111329,5418,0.685,240,337,0.040123
574,Nike Dunk Low Bone Beige (Women's),Nike,110,2022-12-06,179,266,21,223,163,380,100,0.12369,5080,1.1,181,231,0.366875
575,Jordan 4 Retro Military Black (PS),Jordan,90,2022-05-21,102,213,21,130,79,299,30,0.0,4800,0.289,107,116,-0.086614
576,Jordan 1 Retro High OG Dark Marina Blue (GS),Jordan,130,2022-02-16,97,562,21,105,65,206,33,0.088864,4527,-0.008,128,129,0.057377
577,Nike Blazer Low Sacai Black Patent Leather,Nike,120,2022-03-31,64,478,21,73,109,193,36,0.162075,4093,-0.006,108,120,0.89336
578,Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Grey,Converse,150,2021-06-03,105,208,21,150,85,321,72,0.091404,2701,0.04,142,156,0.392656
579,Nike Hot Step Air Terra Drake NOCTA White,Nike,180,2022-03-03,205,177,21,260,235,527,90,0.203771,2681,0.283,274,231,-0.226867
580,Jordan 12 Retro Utility,Jordan,190,2021-08-21,199,332,21,350,147,487,145,0.062452,1735,0.095,226,208,-0.071429
581,New Balance 2002R Protection Pack Lunar New Year Dusty Lilac,New Balance,170,2022-12-30,192,381,21,230,190,365,160,0.06581,1087,0.192,217,203,-0.099324
582,Nike Air Griffey Max 1 USA (2022),Nike,170,2022-06-24,86,198,21,130,95,285,50,0.178208,1083,-0.412,134,100,0.111111
583,adidas Superstar Core Black Cloud White Gold,adidas,85,2019-12-23,67,197,21,79,51,351,30,0.138242,1008,0.392,79,119,0.643089
584,Jordan 1 Retro Low OG SP Travis Scott,Jordan,130,2019-07-20,1800,238,21,1925,315,2806,1258,0.08994,890,13.608,1804,1899,-0.172549
585,Jordan 1 Low OG Starfish (GS),Jordan,100,2021-08-26,117,166,21,136,66,264,89,0.1159,858,0.29,163,129,-0.071942
586,Puma LaMelo Ball MB.02 Rookie Of The Year,Puma,130,2022-12-09,79,179,21,117,72,283,84,0.219459,753,-0.023,147,127,0.03252
587,Nike Air Force 1 Low SP AMBUSH Pine Green,Nike,190,2022-12-16,128,237,21,148,241,401,90,0.136972,640,-0.268,168,139,-0.067114
588,Nike Tiger Woods TW '13 Retro White Varsity Red,Nike,240,2023-02-16,200,136,21,311,123,427,190,0.078182,554,0.104,268,265,-0.079861
589,New Balance 327 Sea Salt Golden Hour Gum (Women's),New Balance,120,2022-07-07,86,137,21,98,21,146,72,0.080354,523,-0.208,105,95,-0.059406
590,Nike Air Max 90 Doernbecher (2023),Nike,140,2023-02-25,162,212,21,176,245,340,150,0.141322,487,0.214,186,170,-0.303487
591,New Balance 9060 Truffle Rich Earth Magnet,New Balance,150,2022-12-06,129,148,21,210,94,259,99,0.165903,362,-0.067,150,140,0.007194
592,Jordan 5 Retro Racer Blue,Jordan,200,2022-02-12,225,401,20,270,179,510,162,0.136747,12241,0.25,237,250,-0.090909
593,Nike Dunk Low Fossil Rose,Nike,110,2022-05-04,149,687,20,221,144,432,118,0.086634,11146,0.609,181,177,0.382813
594,Nike Dunk Low Next Nature Sun Club Arctic Orange,Nike,110,2022-05-20,114,221,20,165,89,400,75,0.124008,8479,0.273,124,140,0.052632
595,Jordan 1 Retro High Pollen,Jordan,170,2021-08-14,143,1472,20,185,302,363,40,0.135041,7436,-0.165,189,142,0.014286
596,Nike SB Dunk Low Pro St. Patrick's Day (2022),Nike,110,2022-03-05,173,472,20,280,275,1800,99,0.245638,6965,0.219,204,135,-0.145768
597,Jordan 1 Retro Low OG Mystic Navy,Jordan,130,2022-06-30,130,684,20,160,207,354,93,0.101227,6379,0.146,155,149,-0.148571
598,Nike Dunk Low Easter 2022 (Women's),Nike,110,2022-04-17,143,306,20,146,133,243,95,0.08643,6152,0.364,144,150,-0.025974
599,Jordan 1 Mid University Blue Grey,Jordan,120,2022-08-01,180,419,20,215,83,294,127,0.065792,5454,0.808,178,217,0.136126
600,Nike SB Dunk Low Cherry,Nike,110,2022-07-09,146,370,20,1826,151,449,95,0.189721,4825,0.417,189,156,-0.130361
601,Air Jordan 1 Low Vintage Grey (GS),Jordan,75,2022-09-02,108,220,20,109,48,196,84,0.182099,3622,0.6,125,120,0.318681
602,Jordan 1 Retro High OG Twist 2.0 Medium Grey (Women's),Jordan,180,2022-12-22,115,565,20,123,137,369,90,0.06093,1349,-0.322,143,122,0.070175
603,Nike Dunk High 1985 Arctic Orange (Women's),Nike,140,2022-09-27,57,238,20,98,64,245,35,0.193272,1188,-0.407,108,83,1.371429
604,Jordan 5 Retro Dunk on Mars (Women's),Jordan,200,2023-01-14,125,324,20,200,139,300,95,0.191947,1042,-0.27,174,146,0.035461
605,Jordan 1 Retro Low OG SP Travis Scott,Jordan,130,2019-07-20,1804,236,20,1925,315,2806,1258,0.07445,890,16.654,1803,2295,0.35
606,New Balance 990v3 Patta Keep Your Family Close,New Balance,220,2022-09-30,187,858,20,327,204,375,113,0.0,879,-0.173,207,182,-0.021019
607,Nike Dunk Low Valentine's Day Yellow Heart (Women's),Nike,110,2023-02-14,90,590,20,97,78,218,80,0.089112,801,-0.182,130,90,-0.090909
608,Nike Air Max 90 Ashen Slate,Nike,140,2022-05-13,102,88,20,220,72,420,110,0.119764,706,0.182,183,166,0.216271
609,Jordan 1 Low SE Wear Away Yellow,Jordan,130,2022-10-07,103,159,20,115,103,250,70,0.179809,683,-0.269,124,95,-0.159292
610,Nike ZoomX Vaporfly Next% 3 Prototype,Nike,250,2023-03-06,330,76,20,345,133,743,277,0.114994,117,0.664,400,416,0.276074
611,Nike Dunk Low Stadium Green Fuchsia (Women's),Nike,110,,131,66,20,200,21,215,120,0.043586,25,0.209,140,133,0.007576
612,Nike Blazer Low Off-White University Red,Nike,140,2022-04-08,112,653,19,135,187,571,56,0.07465,10501,0.061,191,149,0.142435
613,adidas Yeezy Boost 350 Turtledove (2022),adidas,230,2022-08-02,240,460,19,410,299,990,209,0.21732,7675,1.013,452,463,0.251351
614,Nike Dunk Low SE World Champs Black White,Nike,100,2022-05-21,157,486,19,166,134,287,100,0.0,7127,0.62,166,162,-0.159241
